Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
106,7.6,3,6.6,2.1,"1,1"
107,4.9,2.5,4.5,1.7,"1,1"
108,7.3,2.9,6.3,1.8,"1,1"
109,6.7,2.5,5.8,1.8,"1,1"
110,7.2,3.6,6.1,2.5,"1,1"
111,6.5,3.2,5.1,2,"1,1"
112,6.4,2.7,5.3,1.9,"1,1"
113,6.8,3,5.5,2.1,"1,1"
114,5.7,2.5,5,2,"1,1"
115,5.8,2.8,5.1,2.4,"1,1"
116,6.4,3.2,5.3,2.3,"1,1"
117,6.5,3,5.5,1.8,"1,1"
118,7.7,3.8,6.7,2.2,"1,1"
119,7.7,2.6,6.9,2.3,"1,1"
120,6,2.2,5,1.5,"1,1"
121,6.9,3.2,5.7,2.3,"1,1"
122,5.6,2.8,4.9,2,"1,1"
123,7.7,2.8,6.7,2,"1,1"
124,6.3,2.7,4.9,1.8,"1,1"
125,6.7,3.3,5.7,2.1,"1,1"
126,7.2,3.2,6,1.8,"1,1"
127,6.2,2.8,4.8,1.8,"1,1"
128,6.1,3,4.9,1.8,"1,1"
129,6.4,2.8,5.6,2.1,"1,1"
130,7.2,3,5.8,1.6,"1,1"
131,7.4,2.8,6.1,1.9,"1,1"
132,7.9,3.8,6.4,2,"1,1"
133,6.4,2.8,5.6,2.2,"1,1"
134,6.3,2.8,5.1,1.5,"1,1"
135,6.1,2.6,5.6,1.4,"1,1"
136,7.7,3,6.1,2.3,"1,1"
137,6.3,3.4,5.6,2.4,"1,1"
138,6.4,3.1,5.5,1.8,"1,1"
139,6,3,4.8,1.8,"1,1"
140,6.9,3.1,5.4,2.1,"1,1"
141,6.7,3.1,5.6,2.4,"1,1"
142,6.9,3.1,5.1,2.3,"1,1"
143,5.8,2.7,5.1,1.9,"1,1"
144,6.8,3.2,5.9,2.3,"1,1"
145,6.7,3.3,5.7,2.5,"1,1"
146,6.7,3,5.2,2.3,"1,1"
147,6.3,2.5,5,1.9,"1,1"
148,6.5,3,5.2,2,"1,1"
149,6.2,3.4,5.4,2.3,"1,1"
150,5.9,3,5.1,1.8,"1,1"
